Customer_ID,Gender,Age,City,Membership_Type,Total_Spend,Items_Purchased,Average_Rating,Discount_Applied,Days_Since_Last_Purchase,Satisfaction_Level
369,Male,37,Houston,Bronze,450.8,7,3.4,false,24,Neutral
441,Male,37,Houston,Bronze,450.8,7,3.4,false,32,Neutral
417,Male,37,Houston,Bronze,450.8,7,3.4,false,30,Neutral
393,Male,37,Houston,Bronze,450.8,7,3.4,false,28,Neutral
345,Male,37,Houston,Bronze,440.8,7,3.2,false,25,Neutral
112,Female,36,Houston,Bronze,470.5,7,3.2,false,20,Neutral
381,Male,37,Houston,Bronze,430.8,7,3.4,false,27,Neutral
274,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
286,Male,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
154,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
429,Male,37,Houston,Bronze,430.8,7,3.4,false,31,Neutral
184,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
405,Male,37,Houston,Bronze,430.8,7,3.4,false,29,Neutral
124,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
214,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
256,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
327,Male,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
303,Male,35,Houston,Bronze,450.6,7,3.3,false,21,Neutral
315,Male,37,Houston,Bronze,420.8,7,3.4,false,24,Neutral
232,Female,37,Houston,Bronze,420.8,7,3.1,false,21,Neutral
142,Female,37,Houston,Bronze,420.8,7,3.1,false,21,Neutral
202,Female,37,Houston,Bronze,420.8,7,3.1,false,21,Neutral
357,Male,37,Houston,Bronze,410.8,7,3.4,false,26,Neutral
339,Male,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
268,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
166,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
298,Male,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
226,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
136,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
196,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
351,Male,36,Houston,Bronze,480.5,8,3.1,false,20,Neutral
106,Female,37,Houston,Bronze,440.8,8,3.1,false,22,Neutral
148,Female,36,Houston,Bronze,470.5,8,3,false,18,Neutral
238,Female,36,Houston,Bronze,470.5,8,3,false,18,Neutral
399,Male,36,Houston,Bronze,470.5,8,3,false,22,Neutral
423,Male,36,Houston,Bronze,470.5,8,3,false,26,Neutral
375,Male,36,Houston,Bronze,470.5,8,3,false,22,Neutral
208,Female,36,Houston,Bronze,470.5,8,3,false,18,Neutral
447,Male,36,Houston,Bronze,470.5,8,3,false,27,Neutral
178,Female,36,Houston,Bronze,470.5,8,3,false,18,Neutral
280,Male,36,Houston,Bronze,470.5,8,3,false,18,Neutral
321,Male,36,Houston,Bronze,470.5,8,3,false,18,Neutral
250,Female,36,Houston,Bronze,470.5,8,3,false,18,Neutral
262,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
333,Male,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
190,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
220,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
292,Male,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
130,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
160,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
411,Male,36,Houston,Bronze,440.5,8,3.1,false,24,Neutral
387,Male,36,Houston,Bronze,440.5,8,3.1,false,23,Neutral
435,Male,36,Houston,Bronze,440.5,8,3.1,false,28,Neutral
363,Male,36,Houston,Bronze,430.5,8,3.1,false,21,Neutral
309,Male,38,Houston,Bronze,460.9,8,3.2,false,25,Neutral
118,Female,38,Houston,Bronze,450.9,8,3,false,25,Neutral
115,Female,42,Chicago,Bronze,530.4,9,3.5,true,38,Unsatisfied
336,Male,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
